t,dataset 1,dataset 2,dataset 3,dataset 4,dataset 5,dataset 6
17600,,,72.58830489,,96.30252476,
17700,,,72.86851124,,96.8301846,
17800,,,73.15030515,,97.36083402,
17900,,,73.43368663,,97.89447301,
18000,,,73.71865569,,98.43110157,
18100,,,74.00521231,,98.97071971,
18200,,,74.29335651,,99.51332742,
18300,,,74.58308828,,100.0589247,
18400,,,74.87440762,,100.6075116,
18500,,,75.16731453,,101.159088,
18600,,,75.46180902,,101.713654,
18700,,,75.75789107,,102.2712096,
18800,,,76.0555607,,102.8317548,
18900,,,76.3548179,,103.3952895,
19000,,,76.65566266,,103.9618138,
19100,,,76.958095,,104.5313277,
19200,,,77.26211492,,105.1038311,
19300,,,77.5677224,,105.6793241,
19400,,,77.87491745,,106.2578068,
19500,,,78.18370008,,106.8392789,
19600,,,78.49407027,,107.4237407,
19700,,,78.80602804,,108.011192,
19800,,,79.11957338,,108.6016329,
19900,,,79.43470629,,109.1950634,
20000,,,79.75142677,,109.7914834,
20100,,,80.06973483,,110.390893,
20200,,,80.38963045,,110.9932922,
20300,,,80.71111365,,111.598681,
20400,,,81.03418442,,112.2070594,
20500,,,81.35884276,,112.8184273,
20600,,,81.68508867,,113.4327848,
20700,,,82.01292215,,114.0501318,
20800,,,82.3423432,,114.6704685,
20900,,,82.67335182,,115.2937947,
21000,,,83.00594802,,115.9201105,
21100,,,83.34013179,,116.5494158,
21200,,,83.67590312,,117.1817108,
21300,,,84.01326203,,117.8169953,
21400,,,84.35220851,,118.4552694,
21500,,,84.69274257,,119.096533,
21600,,,85.03486419,,119.7407863,
21700,,,85.37857339,,,
21800,,,85.72387015,,,
21900,,,86.07075449,,,
22000,,,86.4192264,,,
22100,,,86.76928588,,,
22200,,,87.12093293,,,
22300,,,87.47416755,,,
22400,,,87.82898975,,,
22500,,,88.18539951,,,
22600,,,88.54339685,,,
22700,,,88.90298176,,,
22800,,,89.26415424,,,
22900,,,89.62691429,,,
23000,,,89.99126191,,,
23100,,,90.3571971,,,
23200,,,90.72471987,,,
23300,,,91.0938302,,,
23400,,,91.46452811,,,
23500,,,91.83681359,,,
23600,,,92.21068664,,,
23700,,,92.58614726,,,
23800,,,92.96319546,,,
23900,,,93.34183122,,,
24000,,,93.72205456,,,
24100,,,94.10386546,,,
24200,,,94.48726394,,,
24300,,,94.87224999,,,
24400,,,95.25882361,,,
24500,,,95.6469848,,,
24600,,,96.03673357,,,
24700,,,96.4280699,,,
24800,,,96.82099381,,,
24900,,,97.21550529,,,
25000,,,97.61160434,,,
25100,,,98.00929096,,,
25200,,,98.40856515,,,
25300,,,98.80942691,,,
25400,,,99.21187625,,,
25500,,,99.61591315,,,
25600,,,100.0215376,,,
25700,,,100.4287497,,,
25800,,,100.8375493,,,
25900,,,101.2479365,,,
26000,,,101.6599112,,,
26100,,,102.0734736,,,
26200,,,102.4886235,,,
26300,,,102.905361,,,
26400,,,103.323686,,,
26500,,,103.7435986,,,
26600,,,104.1650988,,,
26700,,,104.5881866,,,
26800,,,105.0128619,,,
26900,,,105.4391248,,,
27000,,,105.8669753,,,
27100,,,106.2964133,,,
27200,,,106.727439,,,
27300,,,107.1600522,,,
27400,,,107.5942529,,,
27500,,,108.0300412,,,
27600,,,108.4674172,,,
27700,,,108.9063806,,,
27800,,,109.3469317,,,
27900,,,109.7890703,,,
28000,,,110.2327965,,,
28100,,,110.6781102,,,
28200,,,111.1250116,,,
28300,,,111.5735005,,,
28400,,,112.0235769,,,
28500,,,112.475241,,,
28600,,,112.9284926,,,
28700,,,113.3833318,,,
28800,,,113.8397586,,,
28900,,,114.2977729,,,
29000,,,114.7573748,,,
29100,,,115.2185643,,,
29200,,,115.6813413,,,
29300,,,116.1457059,,,
29400,,,116.6116581,,,
29500,,,117.0791979,,,
29600,,,117.5483252,,,
29700,,,118.0190401,,,
29800,,,118.4913426,,,
29900,,,118.9652326,,,
30000,,,119.4407102,,,
30100,,,119.9177754,,,

